modulo;perfil;medida;color;descripcion;extras;costo;proveedor;precio;ganancia
VENTANA_HERRERO;amarilla;150x150;negro;150x150 | negro | Mosquitero + Guía + Cortina Aluminio;mosq+guia+aluminio;206806;186125;270170;63364
VENTANA_HERRERO;amarilla;150x150;bronce colonial;150x150 | bronce colonial | Sin extras;sin extras;144682;130214;179435;34753
VENTANA_HERRERO;amarilla;150x150;bronce colonial;150x150 | bronce colonial | Mosquitero;mosquitero;198030;178227;260865;62835
VENTANA_HERRERO;amarilla;150x150;bronce colonial;150x150 | bronce colonial | Guía;guia;170495;153446;211448;40953
VENTANA_HERRERO;amarilla;150x150;bronce colonial;150x150 | bronce colonial | Guía + Cortina PVC;guia+pvc;170495;153446;211448;40953
VENTANA_HERRERO;amarilla;150x150;bronce colonial;150x150 | bronce colonial | Guía + Cortina Aluminio;guia+aluminio;170495;153446;211448;40953
VENTANA_HERRERO;amarilla;150x150;bronce colonial;150x150 | bronce colonial | Mosquitero + Guía;mosq+guia;223843;201459;292878;69035
VENTANA_HERRERO;amarilla;150x150;bronce colonial;150x150 | bronce colonial | Mosquitero + Guía + Cortina PVC;mosq+guia+pvc;223843;201459;292878;69035
VENTANA_HERRERO;amarilla;150x150;bronce colonial;150x150 | bronce colonial | Mosquitero + Guía + Cortina Aluminio;mosq+guia+aluminio;223843;201459;292878;69035
VENTANA_HERRERO;amarilla;150x150;simil madera;150x150 | simil madera | Sin extras;sin extras;325138;292624;403236;78098
VENTANA_HERRERO;amarilla;150x150;simil madera;150x150 | simil madera | Mosquitero;mosquitero;464948;418453;616642;151694
VENTANA_HERRERO;amarilla;150x150;simil madera;150x150 | simil madera | Guía;guia;350951;315856;435249;84298
VENTANA_HERRERO;amarilla;150x150;simil madera;150x150 | simil madera | Guía + Cortina PVC;guia+pvc;350951;315856;435249;84298
