modulo;perfil;medida;color;extras;costo;proveedor;precio;ganancia
PATAGONICA_MODENA;amarilla;150x110;negro;herrajes_blancos;297347;276533;381062;83715
PATAGONICA_MODENA;amarilla;200x150;negro;raja;546554;508295;700431;153877
PATAGONICA_MODENA;amarilla;200x150;negro;brazo;550554;512015;705557;155003
PATAGONICA_MODENA;amarilla;200x150;negro;volcable;550554;512015;705557;155003
PATAGONICA_MODENA;amarilla;200x150;negro;oscilobatiente;646554;601295;828585;182031
PATAGONICA_MODENA;amarilla;200x150;negro;mosquitero;691646;638878;921899;230253
PATAGONICA_MODENA;amarilla;200x150;negro;premarco;627754;583811;788482;160728
PATAGONICA_MODENA;amarilla;200x150;negro;herrajes_blancos;570333;530410;730905;160572
PATAGONICA_MODENA;amarilla;150x110;bronce colonial;raja;313713;291753;402036;88323
PATAGONICA_MODENA;amarilla;150x110;bronce colonial;brazo;317713;295473;407162;89449
PATAGONICA_MODENA;amarilla;150x110;bronce colonial;volcable;317713;295473;407162;89449
PATAGONICA_MODENA;amarilla;150x110;bronce colonial;oscilobatiente;413713;384753;530190;116477
PATAGONICA_MODENA;amarilla;150x110;bronce colonial;mosquitero;393514;363574;523843;130330
PATAGONICA_MODENA;amarilla;150x110;bronce colonial;premarco;374033;347851;467446;93413
PATAGONICA_MODENA;amarilla;150x110;bronce colonial;herrajes_blancos;327672;304735;419925;92253
PATAGONICA_MODENA;amarilla;200x150;bronce colonial;raja;601427;559327;770753;169326
PATAGONICA_MODENA;amarilla;200x150;bronce colonial;brazo;605427;563047;775879;170452
PATAGONICA_MODENA;amarilla;200x150;bronce colonial;volcable;605427;563047;775879;170452
PATAGONICA_MODENA;amarilla;200x150;bronce colonial;oscilobatiente;701427;652327;898907;197480
PATAGONICA_MODENA;amarilla;200x150;bronce colonial;mosquitero;746519;689910;992221;245702
PATAGONICA_MODENA;amarilla;200x150;bronce colonial;premarco;682627;634843;858804;176177
PATAGONICA_MODENA;amarilla;200x150;bronce colonial;herrajes_blancos;627949;583993;804742;176793
PATAGONICA_MODENA;amarilla;150x110;simil madera;raja;766189;712556;981902;215713
PATAGONICA_MODENA;amarilla;150x110;simil madera;brazo;770189;716276;987028;216839
PATAGONICA_MODENA;amarilla;150x110;simil madera;volcable;770189;716276;987028;216839
PATAGONICA_MODENA;amarilla;150x110;simil madera;oscilobatiente;866189;805556;1110056;243867
PATAGONICA_MODENA;amarilla;150x110;simil madera;mosquitero;845990;784376;1103710;257720
PATAGONICA_MODENA;amarilla;150x110;simil madera;premarco;826509;768653;1047312;220803
PATAGONICA_MODENA;amarilla;150x110;simil madera;herrajes_blancos;802772;746578;1028784;226012
PATAGONICA_MODENA;amarilla;200x150;simil madera;raja;1461116;1358838;1872479;411363
PATAGONICA_MODENA;amarilla;200x150;simil madera;brazo;1465116;1362558;1877605;412489
PATAGONICA_MODENA;amarilla;200x150;simil madera;volcable;1465116;1362558;1877605;412489
PATAGONICA_MODENA;amarilla;200x150;simil madera;oscilobatiente;1561116;1451838;2000633;439517
PATAGONICA_MODENA;amarilla;200x150;simil madera;mosquitero;1606208;1489421;2093947;487739
PATAGONICA_MODENA;amarilla;200x150;simil madera;premarco;1542316;1434354;1960530;418214
PATAGONICA_MODENA;amarilla;200x150;simil madera;herrajes_blancos;1530623;1423479;1961555;430932
PATAGONICA_MODENA;azul;150x110;blanco;raja;227069;211174;301979;74910
PATAGONICA_MODENA;azul;150x110;blanco;brazo;231069;214894;307299;76230
PATAGONICA_MODENA;azul;150x110;blanco;volcable;231069;214894;307299;76230
PATAGONICA_MODENA;azul;150x110;blanco;oscilobatiente;327069;304174;434969;107900
PATAGONICA_MODENA;azul;150x110;blanco;mosquitero;306870;281399;425574;118705
PATAGONICA_MODENA;azul;150x110;blanco;premarco;287389;267272;367389;80000
PATAGONICA_MODENA;azul;150x110;blanco;herrajes_blancos;236696;220127;314782;78086
PATAGONICA_MODENA;azul;200x150;blanco;raja;436806;406230;580908;144102
PATAGONICA_MODENA;azul;200x150;blanco;brazo;440806;409950;586228;145422
PATAGONICA_MODENA;azul;200x150;blanco;volcable;440806;409950;586228;145422
